username,realname,phone,userType,companyGroup,company,userDescription,userGroup,companyCode,managementProvince,managementCity,managementArea,addStationAction,deleteStationAction,queryStaffAction,updateStationAction,addStaffAction,deleteStaffAction,queryStaffAction,updateStaffAction,addKeyAction,deleteKeyAction,queryKeyAction,updateKeyAction,doorAuthorization,password,accessToken,tokenStartTime,tokenEndTime,addLockAction,deleteLockAction,queryLockAction,updateLockAction
肖良平,肖良平,15520443869,101,运营商,中国移动成都分公司高新西区分公司,管理员,省级管理员,1,四川省,成都市,高新西区,true,true,true,true,true,true,true,true,true,true,,true,true,123456,r5qlqbxa3w3wstt9,1468827328,1468913728,true,true,true,true
向宇,向宇,14649549645,101,铁塔公司,铁塔集团四川省公司成都市分公司,基站管理员,市级管理员,1,四川省,成都市,高新西区,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,vkgbqtglfwhwu3di,1468985395,1469071795,true,true,true,true
樊建峰,樊建峰,14780403613,103,铁塔公司,铁塔集团四川省公司成都市分公司,基站管理员,省级工程师,1,四川省,成都市,高新西区,false,false,false,false,false,false,false,false,false,false,false,false,false,123456,9qyhqwgrxmsd1jor,1467880444,1467966844,true,true,true,true
李堂庚,李堂庚,13018270086,103,铁塔公司,铁塔集团四川省公司成都分公司,工程师,省级工程师,1,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,4srj7mi9nlba9k9,1469002415,1469088815,true,true,true,true
陈刚,陈刚,14780413613,103,铁塔公司,铁塔集团四川省公司成都分公司,自定义,省级工程师,1,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,jqsaiqigjylj714i,1468914089,1469000489,true,true,true,true
测试机,测试机,123,2,,中国移动成都分公司高新西区分公司,管理员,,,,,,,,true,,,,true,,,,,,,,dlqgtfookm1v2t9,,,true,true,true,true
tyutcs,无名氏,18234132242,101,,中国移动成都分公司高新西区分公司,管理员,,,,,,,,true,,,,true,,,,,,,,dlqgtfookm1v2t9,,,true,true,true,true
虚竹,虚竹,13018217530,211,铁塔公司,铁塔集团四川省公司成都分公司,自定义,市级管理员,2,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,lvhpmygrguwn4s4i,1463032081,1463118481,true,true,true,true
光明顶,大光明顶,13018217597,111,铁塔公司,铁塔集团四川省公司成都分公司,自定义,市级管理员,1,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,gu5tgjq9alri19k9,1462521715,1462608115,true,true,true,true
李堂庚家,李堂庚,13018270089,103,铁塔公司,铁塔集团北京公司北京市分公司,自定义,省级工程师,1,北京,北京市,北京市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,ka0bqmsq3odjwcdi,1467282414,1467368814,true,true,true,true
刘冬寅,刘冬寅,18502358987,111,铁塔公司,铁塔集团四川公司成都分公司,自定义,市级管理员,1,四川,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,br5js03056vl5wmi,1469001752,1469088152,true,true,true,true
李晓雪,李晓雪,18234564567,111,铁塔公司,铁塔集团四川省公司甘孜藏族自治州分公司,自定义,市级管理员,1,四川省,甘孜藏族自治州,稻城县,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,b2l0a69mdspuv7vi,1463032201,1463118601,true,true,true,true
陆金波,陆金波,13645687487,101,运营商,中国移动成都分公司高新西区分公司,基站管理员,管理员,,四川省,成都市,高新西区,true,true,true,true,true,true,true,true,,,,,true,123456,us0hko8lh3kgldi,1468933799,1469020199,true,true,true,true
圣火令,高明教,13018217601,111,铁塔公司,铁塔集团四川省公司成都分公司,自定义,市级管理员,1,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,,,,true,true,true,true
段誉,段大誉,13018217600,211,铁塔公司,铁塔集团四川省公司成都分公司,自定义,市级管理员,2,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,4lys9wbn1q4u0udi,1463032579,1463118979,true,true,true,true
小龙女,小龙女,13018217610,301,施工公司,成都市神雕公司,自定义,管理员,3,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,tfvnfs2odc2fbt9,1463032604,1463119004,true,true,true,true
杨过,过儿,13018217612,302,施工公司,成都市神雕公司,自定义,审批员,3,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,9z4okzn38q90y66r,1463032722,1463119122,true,true,true,true
韦大宝,韦大宝,13018217300,401,代维公司,成都市鹿鼎记公司,自定义,管理员,4,四川省,成都,崇州市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,b129vwsvc40zr529,1463032891,1463119291,true,true,true,true
双儿,双儿,13018217301,402,代维公司,成都市鹿鼎记公司,自定义,审批员,4,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,ztnshstx0r418aor,1467282778,1467369178,true,true,true,true
胡斐,胡斐,13318217100,501,厂商公司,成都市雪山公司,自定义,管理员,5,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,h1f2rylbd42t9,1467872598,1467958998,true,true,true,true
袁紫衣,袁紫衣,13318217101,502,厂商公司,成都市雪山公司,自定义,审批员,5,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,f3olqpauk7p0hpvi,1467282827,1467369227,true,true,true,true
韦小宝,韦小宝,13018217003,413,中国电信公司,中国电信集团四川省公司绵阳分公司,自定义,市级工程师,4,四川省,绵阳,绵阳市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,q2wcdq6enjjxajor,1467282790,1467369190,true,true,true,true
铁塔人,铁塔,13018217010,111,铁塔公司,铁塔集团四川省公司成都分公司,自定义,市级管理员,1,四川省,成都,成都市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,grp62tsgsgd5cdi,1462521259,1462607659,true,true,true,true
少林寺,少林,13018219000,212,中国移动公司,中国移动集团省份公司地级市分公司,自定义,市级审批员,2,省份,地级市,市、县级市、县,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,xdfmyym7utz0vn29,1463044052,1463130452,true,true,true,true
铁木真,额铁木真,13018219001,313,中国联通公司,中国联通集团四川省公司成都分公司,自定义,市级工程师,3,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,r0hgyvj4ugi7ldi,1467282464,1467368864,true,true,true,true
程灵素,程灵素,13018217400,503,施工公司,成都市雪山公司,自定义,工程师,5,四川省,成都,成都市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,lsr9g8sw80itqpvi,1467282910,1467369310,true,true,true,true
昆仑,昆仑,13018217103,111,铁塔公司,铁塔集团四川省公司绵阳分公司,自定义,市级管理员,1,四川省,绵阳,绵阳市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,s0p9q8gp5dx11yvi,1462526555,1462612955,true,true,true,true
测试用户,测试用户,15184415273,102,铁塔公司,铁塔集团四川省公司眉山分公司,测试,省级审批员,1,四川省,眉山,丹棱县,true,true,true,true,false,false,true,false,false,false,false,false,false,123456,eln6pylb0p69lik9,1466576952,1466663352,true,true,true,true
admin,,15008431512,000,厂商,中国移动高新西区子公司,中国移动员工,运营商,000,四川省,成都市,高新西区,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,j43dhn898do8yqfr,1468897657,1468984057,true,true,true,true
陈家洛,陈家洛,13018271900,601,代维公司,书剑公司,自定义,管理员,6,安徽,安庆,安庆市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,,,,true,true,true,true
张无忌,张无忌,13018297000,701,厂商公司,倚天屠龙公司,自定义,管理员,7,安徽,安庆,安庆市,true,true,true,true,true,true,true,true,true,true,true,true,true,123456,,,,true,true,true,true
代维审批,代维审批,13018269000,602,代维公司,书剑恩仇公司,自定义,审批员,6,安徽,安庆,安庆市,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,0hwv0bqsgszl4n29,1467283128,1467369528,true,true,true,true
代维工程,代维工程,13018269001,603,代维公司,书剑恩仇公司,自定义,工程师,6,安徽,安庆,安庆市,false,false,true,false,false,false,true,false,false,false,false,false,false,123456,50bl3fwlikymn29,1467283144,1467369544,true,true,true,true
厂商审批,厂商审批,13018269002,702,厂商公司,倚天屠龙公司,自定义,审批员,7,安徽,安庆,安庆市,false,false,true,false,false,false,true,false,false,false,false,false,true,123456,p4yo0wb712pxecdi,1467283228,1467369628,true,true,true,true
